A̱o,Mes,Casos
2015,Enero,7717
2015,Febrero,8204
2015,Marzo,9705
2015,Abril,10447
2015,Mayo,11128
2015,Junio,11428
2015,Julio,11273
2015,Agosto,11831
2015,Septiembre,11835
2015,Octubre,12082
2015,Noviembre,11417
2015,Diciembre,10022
2016,Enero,9879
2016,Febrero,11733
2016,Marzo,12453
2016,Abril,14021
2016,Mayo,15138
2016,Junio,14492
2016,Julio,12956
2016,Agosto,12807
2016,Septiembre,13089
2016,Octubre,12187
2016,Noviembre,11481
2016,Diciembre,11724
2017,Enero,11802
2017,Febrero,12131
2017,Marzo,14145
2017,Abril,13566
2017,Mayo,15619
2017,Junio,15827
2017,Julio,14216
2017,Agosto,15872
2017,Septiembre,14676
2017,Octubre,15079
2017,Noviembre,13630
2017,Diciembre,11629
2018,Enero,12704
2018,Febrero,13440
2018,Marzo,16096
2018,Abril,16264
2018,Mayo,17648
2018,Junio,16399
2018,Julio,16170
2018,Agosto,15612
2018,Septiembre,15174
2018,Octubre,15340
2018,Noviembre,13010
2018,Diciembre,12156
2019,Enero,13942
2019,Febrero,14925
2019,Marzo,16977
2019,Abril,17593
2019,Mayo,20352
2019,Junio,18785
2019,Julio,19188
2019,Agosto,19304
2019,Septiembre,18243
2019,Octubre,18781
2019,Noviembre,15771
2019,Diciembre,15932
2020,Enero,15833
2020,Febrero,17772
2020,Marzo,20486
2020,Abril,15222
2020,Mayo,16051
2020,Junio,18865
2020,Julio,19581
2020,Agosto,19821
2020,Septiembre,20082
2020,Octubre,20579
2020,Noviembre,18168
2020,Diciembre,17372
2021,Enero,17385
2021,Febrero,18178
2021,Marzo,23665
2021,Abril,23353
2021,Mayo,23887
2021,Junio,22472
2021,Julio,21499
2021,Agosto,21254
2021,Septiembre,20766
2021,Octubre,21487
2021,Noviembre,19646
2021,Diciembre,19711
